song_id,artist_id,title
1,1,Blinding Lights
2,2,As It Was
3,3,Stay
4,5,Bad Guy
5,6,Industry Baby
6,8,Levitating
7,6,Montero
8,9,good 4 u
9,1,Starboy
10,10,Heat Waves
11,2,Watermelon Sugar
12,5,Happier Than Ever
13,4,Peaches
14,1,Save Your Tears
15,9,Drivers License
16,11,Butter
